Time	ROI-2-_sig_410	ROI-2-_sig_470	Input_DIO-1-bpod
0:00:00:13.8283640	3.399517571	8.469529069	0
0:00:00:13.8616982	3.393085568	8.473379211	0
0:00:00:13.8950323	3.387370748	8.467377518	0
0:00:00:13.9283665	3.387959594	8.456046019	0
0:00:00:13.9617007	3.391704046	8.459111035	0
0:00:00:13.9950349	3.383316774	8.471114421	0
0:00:00:14.0283690	3.390881173	8.461685346	0
0:00:00:14.0617032	3.390715088	8.46283284	0
0:00:00:14.0950374	3.397418866	8.465701574	0
0:00:00:14.1283716	3.393780104	8.475538311	0
0:00:00:14.1617057	3.39080568	8.465814813	0
0:00:00:14.1950399	3.390337623	8.460213233	0
0:00:00:14.2283741	3.397494359	8.466637687	0
0:00:00:14.2617083	3.396248725	8.472654479	0
0:00:00:14.2950424	3.394482189	8.477425636	0
0:00:00:14.3283766	3.399796896	8.465014587	0
0:00:00:14.3617108	3.3943614	8.459126134	0
0:00:00:14.3950450	3.393878245	8.458001288	0
0:00:00:14.4283792	3.391968272	8.472518591	0
0:00:00:14.4617133	3.390035651	8.466637687	0
0:00:00:14.4950475	3.392828892	8.474836226	0
0:00:00:14.5283817	3.386630917	8.468585406	0
0:00:00:14.5617158	3.396022246	8.456665062	0
0:00:00:14.5950500	3.397509458	8.47738034	0
0:00:00:14.6283842	3.39350078	8.451652327	0
0:00:00:14.6617184	3.39177199	8.448693002	0
0:00:00:14.6950526	3.387702918	8.455155202	0
0:00:00:14.7283867	3.392806244	8.466977405	0
0:00:00:14.7617209	3.395403203	8.451312609	0
0:00:00:14.7950551	3.388631481	8.452603539	0
0:00:00:14.8283893	3.392240047	8.454974019	0
0:00:00:14.8617235	3.38347531	8.456634865	0
0:00:00:14.8950576	3.391545511	8.445612887	0
0:00:00:14.9283918	3.391386976	8.457472837	0
0:00:00:14.9617260	3.397562303	8.450338749	0
0:00:00:14.9950602	3.393749907	8.440917223	0
0:00:00:15.0283944	3.389756327	8.431412655	0
0:00:00:15.0617285	3.385596663	8.450897397	0
0:00:00:15.0950627	3.393681963	8.436508432	0
0:00:00:15.1283969	3.383233732	8.440600152	0
0:00:00:15.1617310	3.382561844	8.424218172	0
0:00:00:15.1950652	3.390669792	8.447998466	0
0:00:00:15.2283994	3.388963651	8.434704149	0
0:00:00:15.2617336	3.387725565	8.43922618	0
0:00:00:15.2950678	3.390465961	8.446677339	0
0:00:00:15.3284019	3.39770574	8.444691873	0
0:00:00:15.3617361	3.388495594	8.452361961	0
0:00:00:15.3950703	3.389892214	8.451969398	0
0:00:00:15.4284045	3.390881173	8.441740097	0
0:00:00:15.4617387	3.39069244	8.447432269	0
0:00:00:15.4950728	3.388888158	8.44105311	0
0:00:00:15.5284070	3.391922976	8.456242301	0
0:00:00:15.5617412	3.395154076	8.457570978	0
0:00:00:15.5950796	3.386880044	8.438320264	0
0:00:00:15.6284095	3.385868438	8.440351025	0
0:00:00:15.6617437	3.384351028	8.44127204	0
0:00:00:15.6950815	3.376665841	8.428506174	0
0:00:00:15.7284121	3.377896377	8.423093326	0
0:00:00:15.7617462	3.38423024	8.431208824	0
0:00:00:15.7950834	3.389137284	8.440509561	0
0:00:00:15.8284146	3.383671591	8.435640262	0
0:00:00:15.8617488	3.377813335	8.437323756	0
0:00:00:15.8950852	3.390133792	8.444782464	0
0:00:00:15.9284171	3.383656493	8.431926007	0
0:00:00:15.9617513	3.39037537	8.431993951	0
0:00:00:15.9950870	3.389446806	8.444767366	0
